spatial_reference_id,reference_type,topology_status,reciprocal_link_count,missing_direction_count,finding_count,detail
NG-SCELL-000239,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000240,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000241,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000242,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000243,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000244,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000245,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000246,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000247,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000248,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000249,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000250,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000251,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000252,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000253,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000254,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000255,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000256,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000257,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000258,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000259,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000260,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000261,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000262,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000263,REFERENCE_CELL,PASS,2,6,0,
NG-SCELL-000264,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000265,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000266,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000267,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000268,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000269,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000270,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000271,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000272,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000273,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000274,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000275,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000276,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000277,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000278,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000279,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000280,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000281,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000282,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000283,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000284,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000285,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000286,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000287,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000288,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000289,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000290,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000291,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000292,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000293,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000294,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000295,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000296,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000297,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000298,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000299,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000300,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000301,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000302,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000303,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000304,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000305,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000306,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000307,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000308,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000309,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000310,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000311,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000312,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000313,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000314,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000315,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000316,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000317,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000318,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000319,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000320,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000321,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000322,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000323,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000324,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000325,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000326,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000327,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000328,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000329,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000330,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000331,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000332,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000333,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000334,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000335,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000336,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000337,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000338,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000339,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000340,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000341,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000342,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000343,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000344,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000345,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000346,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000347,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000348,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000349,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000350,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000351,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000352,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000353,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000354,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000355,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000356,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000357,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000358,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000359,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000360,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000361,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000362,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000363,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000364,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000365,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000366,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000367,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000368,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000369,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000370,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000371,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000372,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000373,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000374,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000375,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000376,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000377,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000378,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000379,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000380,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000381,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000382,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000383,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000384,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000385,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000386,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000387,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000388,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000389,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000390,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000391,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000392,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000393,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000394,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000395,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000396,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000397,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000398,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000399,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000400,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000401,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000402,REFERENCE_CELL,PASS,5,3,0,
